county_number,County Name,composite,literacy,numeracy,alg_1,alg_2,bio,chem,ela,eng_1,eng_2,eng_3,math,science,enrollment,black,hispanic,native,el,swd,ed,expenditures,act_composite,chronic_abs,suspended,expelled,grad,est_count_total,est_count_total_never_married,est_count_total_now_married_except_separated,est_count_total_divorced,est_count_total_separated,est_count_total_widowed,est_count_total_born_in_state_of_residence,est_count_total_born_in_state_of_residence_never_married,school_year,k_8_attendance_rate_pct,k_8_promotion_rate_pct,attendance_rate_pct,never_married_per_capita,married_not_sep_per_capita,divorced_per_capita,separated_per_capita,widowed_per_capita,born_in_state_of_residence_per_capita,born_in_state_of_residence_never_married_per_capita,graduate_category
1,Anderson County,1,1,3,76.1,63.3,73.6,41,45.7,73.7,59.2,38.2,54,64.5,6304,2.8,1.1,0.5,0.2,18,58.5,9535.7,19.9,11.5,5,0.1,94,62272,16423,30396,8711,1617,5125,38074,11251,2015,95.3,99.5,94.9,0.2637301,0.4881166,0.13988631,0.025966727,0.08230023,0.6114144,0.1806751,Medium
1,Anderson County,5,5,5,101.18952,76.40456,77.75467,56.695062,58.3,78.17638,79.24535,58.52373,68.9,69.6,894,5.7,2.8,0.3,1,18.1,63.4,9537.5,22.37554,8.8,1.2,0,94.02551,62272,16423,30396,8711,1617,5125,38074,11251,2015,95.7,98.8,95.1022,0.2637301,0.4881166,0.13988631,0.025966727,0.08230023,0.6114144,0.1806751,Medium
1,Anderson County,1,3,1,76.9,72,83.5,80.9,56.1,86.7,74.6,53.8,55.3,70.8,4326,16.6,8,0.7,3,14.3,52.5,12355.5,23.1,17.5,5.7,0,89.7,62272,16423,30396,8711,1617,5125,38074,11251,2015,95.1,98.6,95.3,0.2637301,0.4881166,0.13988631,0.025966727,0.08230023,0.6114144,0.1806751,Low
3,Bedford County,3,5,2,64.3,42.4,62.1,32.5,44.1,72.3,63.1,44.6,53.1,61.8,8270,11.2,20.6,0.5,9.4,10.9,69.9,7756.2,18.4,8.6,2.2,0,90.8,35926,8968,19472,4577,872,2037,21306,5294,2015,95.6,99.9,95,0.2496242,0.542003,0.12740077,0.024272115,0.05669988,0.5930524,0.1473585,Medium
5,Benton County,3,3,5,73.7,58.4,77.1,33.1,46,75.4,60.8,45.6,53.9,65,2133,3.9,2.1,0.3,0,18.8,50.2,9714.2,18.4,6.5,0,0,94.5,13695,2925,7138,2048,139,1445,8194,2002,2015,96.5,99.2,95.7,0.2135816,0.5212121,0.14954363,0.01014969,0.10551296,0.5983206,0.1461847,Medium
7,Bledsoe County,1,1,1,64.8,73.9,73,19.5,35.4,63.6,53.3,50,41.1,56.2,1674,1.5,6.8,0.6,2.3,19.7,83.5,9495.9,19.2,9.1,2.4,0.1,92.4,11518,2910,5840,1757,278,733,7485,1931,2015,95.3,99.5,94.4,0.252648,0.5070325,0.15254384,0.024136135,0.06363952,0.6498524,0.1676506,Medium
9,Blount County,1,1,1,73.2,59.8,65.1,45.4,46.3,71.8,66,45.3,50.5,68.4,10500,3,4.2,0.4,1.9,12.8,54.2,8866.9,19.7,17,4.7,0.1,89.1,103228,23894,57615,12926,1780,7013,58139,14464,2015,94.2,99,93.3,0.2314682,0.5581335,0.12521796,0.017243384,0.06793699,0.5632096,0.140117,Low
9,Blount County,2,4,3,82.2,76.8,88,66,50.2,85.5,79.6,67.2,56.6,65.1,1850,23.3,9.5,0.6,2.7,13,49.4,10320,22,4.7,3.1,0.1,98.2,103228,23894,57615,12926,1780,7013,58139,14464,2015,96.3,97.5,96.8,0.2314682,0.5581335,0.12521796,0.017243384,0.06793699,0.5632096,0.140117,High
9,Blount County,5,5,5,83.8,77.3,92.1,80.4,69.6,89.9,82.7,68.1,70.2,87.1,4944,4.2,4,0.2,2.8,13.2,32.1,10161.2,23,2,2.7,0,96.6,103228,23894,57615,12926,1780,7013,58139,14464,2015,96.9,99.5,97.9,0.2314682,0.5581335,0.12521796,0.017243384,0.06793699,0.5632096,0.140117,High
11,Bradley County,5,5,5,71.97891,59.5,64.1,55.7,52.4,74.4,66.3,38.2,57.1,65.9,9801,3.6,4.3,0.3,1.6,11.3,55.1,8429.3,18.8,16,3.9,0.1,93.1,83140,21047,42947,12030,1584,5532,44958,12625,2015,94.8,99.8,93.2,0.2531513,0.5165624,0.14469569,0.019052201,0.06653837,0.5407505,0.1518523,Medium
